codigo,uf,custo,valor_venda,produto,fornecedor
R18.0001,GO,98.57,265.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,TO,90.15,255.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,PA,88.26,272.0,REDE BUCHO DE BOI,FRAN DULTRA
R18.0001,MT,89.23,270.0,REDE BUCHO DE BOI,FRAN DULTRA
P16.0015,GO,2.46,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,TO,2.28,7.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,PA,2.44,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0015,MT,2.19,8.0,PANO DE PRATO MENS BIBLICAS,FRAN DULTRA
P16.0017,GO,24.4,70.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,TO,21.82,67.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,PA,24.27,70.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
P16.0017,MT,22.87,73.0,PANO PRATO KIT SEMANINHA BORDADO,FRAN DULTRA
C3.0064,GO,39.55,100.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,TO,39.95,100.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,PA,39.55,102.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0064,MT,39.55,102.0,COLCHA CASAL OXFORD BORDADA,FRAN DULTRA
C3.0017,GO,24.84,84.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,TO,28.25,84.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,PA,27.77,81.0,CAPA DE MAQUINA COURINO,ALESSANDRA
C3.0017,MT,27.97,81.0,CAPA DE MAQUINA COURINO,ALESSANDRA
T20.0054,GO,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,TO,12.07,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,PA,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
T20.0054,MT,11.95,19.0,TAPETE MACARRAO 40X60,PARAIBA
M13.0001,GO,18.47,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,TO,18.34,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,PA,18.97,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
M13.0001,MT,18.14,58.0,MANTA CASAL MICROF ESTAMPADA,PARAIBA
C3.0023,GO,58.55,168.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,TO,57.14,170.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,PA,65.19,170.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0023,MT,56.57,168.0,CARPETE PELUDO 200X150 M,PARAIBA
C3.0024,GO,107.41,320.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,TO,112.74,322.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,PA,110.27,322.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0024,MT,111.68,320.0,CARPETE PELUDO 200X250 G,PARAIBA
C3.0022,GO,40.97,120.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,TO,38.28,126.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,PA,43.73,128.0,CARPETE PELUDO 100X150 P,PARAIBA
C3.0022,MT,37.29,128.0,CARPETE PELUDO 100X150 P,PARAIBA
P16.0019,GO,40.97,122.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,TO,36.76,124.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,PA,47.98,124.0,PASSADEIRA PELUDA,PARAIBA
P16.0019,MT,36.4,120.0,PASSADEIRA PELUDA,PARAIBA
K11.0019,GO,23.0,80.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,TO,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,PA,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
K11.0019,MT,23.0,82.0,KIT PASSADEIRA 03PCS,FRAN DULTRA
T20.0055,GO,17.94,46.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,TO,18.12,48.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,PA,17.94,29.0,TAPETE MACARRAO 50X80,PARAIBA
T20.0055,MT,17.94,29.0,TAPETE MACARRAO 50X80,PARAIBA
C3.0010,GO,27.03,68.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0010,TO,27.3,70.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
C3.0010,PA,27.03,72.0,CAIXA DE SOM Q 03,LUI ELETRONICOS
